,Unnamed: 0,title,guest_favorite,rating,number_reviews,type_host,hosting_time,price,all_reviews,complete_data_list
0,0,Studio home,False,4.84,255.0,normal_host,3 years hosting,€ 72 ,"['Thank you!', 'Exceptionally clean', 'Fantastic and cute place to stay, we had an issue with checking in originally, but Lorena was quick to help us out soon after and we were able to check in soon after. We had an excellent and peaceful time. 10/10 Would stay again.', ""I stayed at Lorena's place for 4 nights and it was fantastic. Had the entire studio for myself and at the moment I entered it it was smelling as a new clean home. Definitely would recommend Lorena's place!"", 'I had a wonderful stay at this Airbnb. The space was incredibly spacious for two people, which made our stay comfortable and enjoyable. The check-in process was easy and hassle-free, adding to the convenience of our trip. Overall, a great experience', 'Very nice place', 'I stayed at Lorena’s place for 6 days. It’s a good place to crash, and you can reserve it at a decent price. If you are at all claustrophobic, I wouldn’t recommend spending a lot of time in the unit.', 'Perfect quaint place for a quick trip to Las Vegas! :)', 'Place is priced right, quiet, parking in driveway a step from unit, awesome shower. Great for me for 1 night.', 'It was great!', 'Great place & host!', 'Clean and convenient', 'Thank you Lorena, we had a very good time at your place.', 'Thank you', 'Great spot for a quick stay! Had everything I needed, thank you!', 'Very comfortable stay for a quick weekend get away', 'We had a lovely stay!!', 'This was as advertised. I would stay again.', 'Very clean accommodation, highly recommend', 'Smaller area but worked very well for me. I needed a break traveling to Utah. Clean and quiet. Biggest bath towel I have ever seen.', 'Stayed here while traveling to Zion. Convenient location for getting from the LV airport to getting back on I-15 the next morning.', 'Lorena was great to work with, and her rental made me feel right at home', 'This place is perfect and has everything I needed!', 'Place was great, easy to find, and clean. Check in process was quick and convenient. Would stay here again!', 'Very comfy bed!', 'classy for sure', 'He was very nice and friendly and helpful, even talking to me about collecting the trash! Very nice host!', 'House was exactly as pictured! I enjoyed my stay. Will definitely book again!', ""my other place wasn't available and Lorena was able to get me this place at super short notice. her and her faily were very nice and helpful. the place was small and cozy but it was worth it because I saved 200 bucks from the other airbnb. only complaint was that it listed 2 beds and the other bed was a futon not a bed, it's not a huge thing but just thought I'd mention it."", 'Cute lil place definitely would stay again', 'Great place and thank you for letting us stay there.', 'Host responded quickly and accommodated my needs. I would definitely stay again!', 'Great location for trips Red Rock Canyon, Zion, Valley of Fire, and the Strip.', 'This was my first time using an Airbnb. This was an excellent experience. The host was responsive, proactive, and provided guidance.', 'Had a great stay at Lorena’s place in North LV. Highly recommended A+++', 'Lorena was kind and helpful. Allowed me to check in earlier which was extremely helpful! Place was quiet and peaceful—all I needed for the night. Thank you!!', 'Lorena is super nice and always responsive . The Airbnb is nice and clean and a great place to stay if you want to avoid the busy Las Vegas strips and costly hotels!!', 'Location was perfect. Halfway between the track and the strip. Studio was as described, parking right out the front door was very convenient. Will book on my next race weekend.', 'Quick drive to the strip. Very clean and comfortable.', 'Nice and cozy. I enjoyed every minute of my stay. It was well worth it', ""Neighbors sitting outside in a group yelling things in Spanish not knowing we spoke Spanish. Made us feel unsafe and unwelcomed. Host is wonderful and friendly, neighbors do not reflect the host or the stay. I would stay here again if we didn't see the neighbors."", 'Amazing!', 'Had a quick stay and this place was exactly what we needed. Very spacious for two people and quiet. The place was also very clean. Highly recommend', 'Great location near the Vegas Speedway. Clean with all the basics.', 'Great place to stay for a trip to Las Vegas! Clean, comfortable, safe, and east to access.', 'The place is small but very comfortable, It’s very pretty, The bathroom light with the speaker is really cool too!', 'Great place', 'A great space for a solo traveler. Parking was right next to the door and the bed was super comfy.', 'Easy process to check in and out…parking is right infront of studio and in driveway…inside is very clean and perfect for a quick weekend get away…Lorena also communicated right away and was available if any questions needed answers…would for sure book at this place again!', 'Perfect spot for a quick overnight stay in Vegas!', 'Lorena was helpful and responsive. Grateful for a small, private & clean place to crash after a long day.', 'Lorena’s place was cozy! It had a nice updated vibe. The place was clean & served every need I had for myself traveling alone for work. I would recommend this place for a single or couple, any more than that & it would feel cramped. It was perfect for me!', 'Everything in Vegas was approximately 20 minutes away from this location. Rooms were adequately sized.', 'This Airbnb was so wonderful! It was clean and comfortable and quiet and beautifully updated. It was better than I expected. I would definitely stay here again! My brother accidentally walked in the wrong door and they were very kind about it. A must stay!', ""Nice little place to stay. Less than 20 min from the LV festival grounds and in a quiet neighborhood. Keypad wasn't working but host messaged prior to arrival to give notice and provided a key to still allow self check in. Inside was clean and neat. Everything was pretty much as pictured except for a missing shower mat and no extra towels other than two shower towels. Wouldn't have minded not having a shower mat but the shower does leak water. Tends to splash out from under the door even when we did our best to close it and the seams against the walls leak. Didn't message host about it due to lack of time and being a low priority for the day. Doors are sliding doors for the bedroom and bathroom which is cool for space efficiency. Window AC worked well overnight. Parking on the property is right outside the door and would've felt safe parking the car on the street if needed."", 'A great place, my husband enjoyed his stay here. He said he wouldn’t allow his daughter to stay there tho.\nThe host was very responsive. She also reimburse us because she had unexpected issues come up that delayed our check in time. Overall, he husband I enjoyed the AC and a safe place to stay.', 'Lorena’s place was a great! Loved having a mini kitchen and a fridge and everything was clean and comfortable. I appreciated being able to park right next to the door, which made check in much easier and more secure. It worked well for my hours as I had to work late and could come and go without disturbing anyone.', 'Great little pad of your own in North Las Vegas. 15 minutes to everything Vegas has to offer. Quiet and private space. 5☆', 'cute little place. perfect for my trip. lorena was actually sitting outside and greeted me when I arrived. very nice, quick responses with little issues. and her sweet pup met me at the gate as I unlocked the door very friendly', 'Super clean, easy to find, and detailed instructions on how to get in. Cute place! Perfect for my quick stay in Vegas', 'I booked this stay for my dad, who enjoyed his stay and was impressed by Lorena and her husband’s responsiveness. He said they were extremely quick to help him and were always available to assist once he checked in. :)', 'nice place', 'This airbnb was really nice for how small it is but there was a bad smell the entire time we were there like hot trash. I would have told the host but she didn’t respond at all when I messaged her about having trouble finding the airbnb in the first place. The floors were also very dirty and left our feet black and gritty. There were also stains on the pull out mattress and not sheets or blankets for the second bed.', 'GREAT studio for a quick vacay!', 'Very nice. Alarm clock was a speaker that connected to the light in the bathroom', 'The studio was very peaceful and pleasant. Just as I had expected. The 2 room studio was exactly as pictured, with a nice comfortable and cozy bed, a nice flat screen tv with some free roku tv programs and a nice stylish bathroom.\nParking inside the gate was good as well, and easy to get into the side parking of the property.\nThe neighborhood is decent with some nice “mom and pop” home cooked restaurants nearby for a nice/hot freshly cooked meal.\nAnd the drive to the attractions is not bad at all(10-15min at most WITH traffic).\nAll in all I really enjoyed my stay and I would definitely recommend to someone seeking a quiet personal and private ~400 sq ft, 1 bedroom + 1 kitchen/couch bedroom studio apartment. This is a great deal for the 5 day total price I paid(a 1 day stay cost in an upper midlevel tier las vegas hotel was more than my whole week stay)\nI am most definitely happy with my choice to stay here.', 'Lorena’s place was perfect for me as a solo traveler and would work great for two people as well. It had everything I needed for a hike base while exploring the area. Lorena was responsive, friendly, and helpful!', 'Lorena offered a great stay. Very clean, great price, and was great at communication. She even allows you to park in her gated driveway. This is a great option for any Vegas stay.', 'great place for a one night stay for two people, very affordable + convenient check in! close to nellis AFB & not far from the strip either! looks exactly like pictures, thanks lorena!', 'I went over the weekend for work. It was exactly what I needed! Small and cozy. No issues', 'As advertised', 'it was clean thanl u so much :)', 'Great place. Clean, quiet and very functional. Great hosts.', 'It was very, very small. They did have a problem with ants,\nThe Ac worked but not big enough, and the TV did not work,\nPlus side-- It was very quiet.', 'Will book again! Fast & easy to book with.', ""Lorena's place was a great stay and quiet area. Only request would be to add a few extra towels and shower soap. Everything else was great and I would recommend staying."", 'This space was ideal for having a home base for a visit to the City. Even though we were delayed from our intended travel time, Lorena was accommodating to our needs and graciously made it exceptionally easy to check in. Thank you!', 'Perfect', 'East check in. Clean space. Friendly host.', ""It's a cozy studio as described. It was just the right size for my wife and I as we stayed there for the weekend. The host called me to verify that I had no problems checking-in and responded quickly to any questions that I had about the place."", 'Wonderful place for a quick three day trip!', 'Quick access to north Las Vegas and convenient for our trip to the Speedway over the weekend.', 'Very cozy and serves its purpose. Perfect if traveling for business or school.', 'I loved Lorena’s place! It was great because it was a separate studio with great parking. It was very convenient for me to get in and out of the space. I really liked that she had several pillows with different firmness levels. I really enjoyed staying there. The wifi was very fast. It was definitely worth the value I paid.', 'Amazing stay highly recommend it', 'Small but private space with on site parking close to the entrance. I stayed for just under a week and had everything I needed', ""I came for a short solo weekend and it was a nice quiet place to hang out after a long day of activities. :) I'd come again!"", 'This airbnb was very clean but it seemed to lack some basic necessities like hand soap in the bathroom, paper towels or any sort of hand towels, tissues ect. I had no issues otherwise.', 'Lorena was wonderful and the place was impeccable, i had a great stay, theres lot of restaurants nearby and most of them are walking distance. if im ever back to vegas hopefully i will book this again.', 'Great and quite place', 'You guys where so welcome and attentive . Thank you so much !!', 'Lorenas Place was just right for what I needed; it had everything I needed and was a very clean place. I will definitely stay here again.', 'Responsive host. Easy to find. Small casita good for one person', 'It was great place to stay', 'Cute little place, we enjoyed our stay.', '(Must read ) The place was super modern and neat , the host was quick with responses and was pretty easy going, but unfortunately with all that being said ,we had a pretty bad infestation of small ants ,as a guy I didn’t care too much but my wife was upset and it was went too many for her liking.', 'Great hidden gem away from the bustle of the strip. Private with wonderful amenities.', 'Great little spot! My sister and I were comfortable! 😊😊😊', 'I had a great stay. Lorena was very accommodating and easy to reach out.\nThank you!', 'I wasn’t satisfied with the area or neighborhood. The accommodations were not used at all (vacated within 2 hours). Host refused to refund even the cleaning fee', 'I would definitely book again when in Vegas 😃', 'very very neat. close by to a lot of places. not walkable but everything was within 30 minutes. cute little place perfect for a solo traveler or couple. very tiny but had everything needed for a good weekend trip.', ""Lorena's place was awesome. I had everything I needed. The neighborhood was quiet and located in a great spot to get to I 15 and the strip quickly. Lorena was also quick to respond when I had questions.""]",['3 guests · Studio · 2 beds · 1 bath']
1,1,*Private Guest House with Free Parking| 10min DWTN,True,"Rated 4.93 out of 5 stars.
4.93",,Superhost,11 months hosting,€ 224 ,"['Nice spot if you want to stay close to Red Rock and explore. It has everything you need for a comfortable stay. Everything was as described and the communication was great. Would stay here again!', 'Very accommodating host and very responsive', 'The best airbnb I have ever had. Location perfect, free parking, place outside, kitchen, you can make a laundry. Everything was good!!!', 'Nice and clean place.', 'This Place was very peaceful! The area was very quiet. The Inside was very clean , it smelt wonderful. My stay was comfortable and pleasant. The host was very respectful and attentive. Will definitely visit again.', 'Excellent place']",['4 guests · 1 bedroom · 2 beds · 1 bath']
2,2,Comfy room with TV & workspace 15 min to LV Strip,True,"Rated 5.0 out of 5 stars.
5.0",,Superhost,1 year hosting,€ 201 ,"['Thank you Jordan for your place, my stay was great!', 'Great place to stay. Nice and quiet neighborhood, I would stay here again!', ""Jordan's listings are clean, comfortable, and easy to find.Jordan was very friendly and welcoming, and gave me lots of useful tips for travelling in Las Vegas. His listings are perfect for travelling in Las Vegas."", 'Jordan and Jesus are the best hosts and their place is clean and comfortable. You can’t go wrong choosing them! Highly recommend', ""I've stayed here a couple times already, that should say enough about this place! Jordan is very responsive and welcoming host. Quiet neighborhood tucked away 15 minutes from the strip."", 'Very cool place to relax, excellent host']",['1 queen bed · Shared bathroom']
3,3,"Signature at MGM 1BR Balcony Suite, tower 1",True,"Rated 4.93 out of 5 stars.
4.93",,Superhost,8 years hosting,€ 124 ,"['Place was amazing. We have stayed in other suites in this hotel and like the stays prior our only complaint is the mattress.', 'Clean, walkable, spacious! Excellent communication! Thank you so much!', 'Rafaels appartment is in every way perfect (location, cleanliness, parking and so on). If you rent Rafaels appartment you cant go wrong. We would 100% stay again.', 'Rafael’s place Liz a great day in Las Vegas with my kids. The MGM pools were amazing. The lazy river was awesome. Indoor walkway to MGM casino and hotel which hires a bunch of cheap eats as well as restaurants. The place was perfect. Jacuzzi tub was a family favorite! The checkout was one of the easiest I’ve ever had. Definitely stay here again. Thanks Rafael!', ""Great and easy stay. Very clean and convenient. Public transportation pick up and drop off is much easier than regular hotels. We have no crazy party people at this hotel. It's very laxed and mellow which we love. Free valet, on the strip, can't ask for much more! Host was very nice and pleasant to work with. Thank you"", 'What an amazing room and host! Best value in Las Vegas. Clean and spacious rooms with a nice view of the Sphere. Will definitely book again!']",['4 guests · 1 bedroom · 2 beds · 3 baths']
4,4,New Private Studio Dwelling near the Strip,True,"Rated 4.93 out of 5 stars.
4.93",,Superhost,2 years hosting,€ 147 ,"['I’ll definitely stay here again. It was very clean. The bed was comfortable. It was quiet- I didn’t hear any noise. Lots of nice touches.', ""Pros: The place was pretty quiet and cozy. It was nice and clean, and the bed was very comfy with a few different type of pillows that you can choose for your comfy. Plus, they offer you some free water bottles and I was really appreciated that small detail from Adriz.\nCons: I don't know, but the floor wasn't mopped before I entered cuz my feet got dirty right off. The Couch wasn't so comfy because the cushion was all got flat..\nOverall: I highly recommend those of you who like a quiet and cozy place away from strip at night, and enjoy cooking with your family or friends, this is a best spot for sure."", 'Great spot if you are staying in Vegas and want to be near the strip, but not right on it. Quiet neighborhood and the space feels very private', 'Very clean. Felt right at home. Thank you!', 'Super easy check in and host was accommodating. Id come back 👍', 'Very clean and a quiet neighborhood']",['2 guests · 1 bedroom · 2 beds · 1 bath']
5,5,D34T1* Studio PH Floor w/StripView/Balcony/Pool,False,4.20,5.0,normal_host,6 years hosting,€ 274 ,"['Awesome stay will be back most definitely!', 'Amazing view and great place!! Had fun and no issues or complaints. Great host and will be staying here again next time I am in town!', 'The bed needs to be replaced. It was awful and factored into us leaving early. The suite is dated but convenient to the strip.', 'The room is okay. The view was nice. I didn’t like that they have cameras on your balcony so you don’t have privacy on the balcony. We wanted to get more towels brought to the room and that was fee of $15. We just went and purchased new ones because why rent more towels when can buy them? It just seems like everything was an up-charge. There was no shampoo or body wash. I let them know and they said they would fill it but I just purchased my own. Overall, it’s an ok place. I don’t think we’re going to stay there again because the location was not what we were expecting nor was the service from the hosts.', 'Had a wonderful time our Penthouse was immaculate view was breathtaking and everyone was wonderful!!!!']",['4 guests · Studio · 2 beds · 1 bath']
6,6,Adorable Vegas Studio 15 MIN to LV Strip,True,"Rated 4.86 out of 5 stars.
4.86",,Superhost,5 years hosting,€ 106 ,"['They are great hosts, and very responsive. The bungalow has well-stocked amenities, from the bathroom to the kitchen. It is very clean and quiet. Make sure to follow directions about eating in the dining area and using the toilet, as these will make your stay pleasant and comfortable. Overall, it was a great spot for my trip, and I would recommend it for a cozy few days in Vegas to anyone. To gain a little extra floor space, make sure to use the closet within the unit. Thanks for the great place!', 'Great stay! Small & quiet ! Definitely will be booking again!', ""The Unit location is amazing, 5 minutes to the airport, 10 to the Strip, near restaurants and Outlets, the parking bext to the unit is a great asset, the unit itself was perfect for me and my wife, im 5'5 and my wife is 5'3 not to big and we were very comfortable, luggage we had with us 3 big suitcases, 2 carry on's, and 2 backpacks and there was enough space for eveything, the studio was very clean, it has a big bathroom and a small kitchen space with everything you need for a quick breakfast or snack, there was complementary snacks, water and Coca Cola waiting for us.\nWe had an issue with the door acces one afternoon and Ciana was there changing the batteries in 2 minutes.\nIf you are looking for an affordable beautiful, safe and clean place to stay in Vegas and enjoy everything it has to offer this is the perfect place.\nAs a note: the studio could be a little small for a tall and buffy person but it is specified on the description.\nI will be back for sure in the near future."", 'Clean , quiet and comfortable!', 'Good experience', 'This was a clean and tidy place better for one person than two. But I felt safe whereas the motel we stayed at in the beginning of the trip made us feel uncomfortable. Nice and quiet too!']",['2 guests · Studio · 1 bed · 1 bath']
7,7,Cozy rent in Las Vegas…!,True,"Rated 4.92 out of 5 stars.
4.92",,Superhost,1 year hosting,€ 43 ,"['Great place, so close and convenient to the strip also so close to so many restaurants and supermarkets; will definitely stay again soon!', 'Nice place! Super clean and comfortable, with lots of attention to detail which I appreciate, extra toiletries for guests, etc. Responsive host when needed. Great stay!', 'Dania was a great host and helped me to get in late at night and checked in on me during my stay.\nThe room was very clean and the decor was great. Had the needed amenities as well.\nVery easy to get from this location to either north Vegas or the strip.\nWould stay here again for sure.', 'Loved Dania’s place! So cute and comfortable. It’s in a safe and quiet neighborhood. We are already planning on coming back and staying here again!! Thanks Dania!', 'Dania was responsive at all times and was quick to respond if I needed any support. Recommended', 'They were very friendly, responsive and always ready to help during our stay.']",['1 bed · Dedicated bathroom']
8,8,Quiet suburban stay in SW Las Vegas,False,5.0,4.0,normal_host,New Host,€ 151 ,"['This property was a quiet and clean escape from the Vegas bustle. We would definitely recommend the stay here.', 'A wonderful guest house close to my friend’s party. I will stay here again when I come to visit again.', 'Quiet and very restful place. Many great restaurants within a short drive. I really liked being able to avoid the I-15 for most of stay and really just 15 minutes to airport. I would recommend this place highly!', 'Clean and comfortable stay in a quiet neighborhood. Quick responses from Jan with clear instructions for easy check in. I would definitely stay again!']",['2 guests · Studio · 1 bed · 1 bath']
9,9,Adorable Cottage,True,"Rated 4.99 out of 5 stars.
4.99",,Superhost,2 years hosting,€ 127 ,"[""I was so pleased with my stay at Santiago's Casita. Santiago was a great communicator and was very accommodating. The place was exactly as described and is very well cleaned/taken care of. I highly recommend on all fronts! 5/5 stars on everything."", 'Santiago’s place was the perfect place to stay. It was super close to the airport which made it convenient for me. Plus his response was very quick! Thank you so much!', 'this was such a beautiful place to stay at, super close to the airport! the casita is absolutely stunning and had everything i needed! santiago was a wonderful host, super responsive, and flexible with my hectic schedule! i will definitely be back \U0001fa77', 'PERFECT off the strip location near the airport. So tidy and neat...easy in and out. A perfect ""base"" from which to launch your Vegas activities...and a wonderful respite to come back to! no noise...no fervor...', 'Cute little place close to the airport, very clean!', 'The casita was perfect for what we needed.']",['2 guests · 1 bedroom · 1 bed · 1 bath']
